SYSTEM Asteroid Field	;{0} Asteroid Field
Settings Explanation ColorScheme		;Select your preferred color scheme for the user interface.
Settings Explanation LensFlareLevel		;Control the level of lens flare when viewing bright items.
Settings Explanation NebulaRenderingDensity		;Select the rendering density of nebula clouds. Lower levels reduce GPU load and improve rendering performance.
Settings Explanation StarFieldLevel		;The number of stars in the background star field
Settings Explanation MusicVolume		;Control the volume for music.
Settings Explanation SoundEffectsVolume		;Control the volume for weapons fire and impact, explosions, hyperdrives, and other sound effects.
Settings Explanation ShipSymbolScale		;Adjust the size of ship and base symbols.
Settings Explanation GalaxyViewDisplayFleets		;Display fleet symbols when zoomed out to the galaxy level.
Settings Explanation GalaxyViewDisplayMilitaryShips		;Display military ship symbols when zoomed out to the galaxy level.
Settings Explanation GalaxyViewDisplaySpacePorts		;Display spaceport symbols when zoomed out to the galaxy level.
Settings Explanation GalaxyViewDisplayOtherBases		;Display non-spaceport base symbols when zoomed out to the galaxy level.
Settings Explanation GalaxyViewDisplayExplorationShips		;Display exploration ship symbols when zoomed out to the galaxy level.
Settings Explanation GalaxyViewDisplayColonyShips		;Display colony ship symbols when zoomed out to the galaxy level.
Settings Explanation GalaxyViewDisplayConstructionShips		;Display construction ship symbols when zoomed out to the galaxy level.
Settings Explanation GalaxyViewDisplayCivilianShips		;Display civilian ship symbols when zoomed out to the galaxy level.
Settings Explanation GalaxyViewDisplayUnknownShips		;Display unknown ship symbols when zoomed out to the galaxy level.
Settings Explanation GalaxyViewDisplayAlwaysEnemyFleets		;Whether to always display enemy fleet symbols when zoomed out to the galaxy level.
Settings Explanation GalaxyViewDisplayAlwaysEnemyMilitaryShips		;Whether to always display enemy military ship symbols when zoomed out to the galaxy level.
Settings Explanation GalaxyViewDisplayCreatures		;Display space creature symbols when zoomed out to the galaxy level.

Editor Explanation Empire Name		;Type here to change the name of this faction
Editor Explanation Empire Government		;Select a government for this faction
Editor Explanation Empire Money		;Adjust the amount of money (cash on hand) for this faction
Editor Explanation Empire Private Money		;Adjust the amount of money in the private economy for this faction
Editor Explanation Empire WarWeariness		;Adjust the level of war weariness for this faction
Editor Explanation Creature Name		;Type here to change the name of this space creature
Editor Explanation Creature Size		;Adjust the size of this space creature
Editor Explanation Creature Health		;Adjust the health level of this space creature
Editor Explanation Ship Name		;Type here to change the name of this ship or base
Editor Explanation Ship Empire		;Change the empire of this ship or base by selecting from the list of factions
Editor Explanation Ship Fuel		;Adjust the fuel for this ship or base
Editor Explanation Ship Shields		;Adjust the shield strength for this ship or base
Editor Explanation Ship HullDamageLevel		;Adjust the hull damage level for this ship or base
Editor Explanation Ship RaidCountdown		;Adjust the raid countdown for this ship or base
Editor Explanation Orb Name		;Type here to change the name
Editor Explanation Orb Diameter		;Adjust the diameter
Editor Explanation Orb QualityRaw		;Adjust the raw quality level (before any changes from damage)
Editor Explanation Orb Damage		;Adjust the damage level (lowers quality)
Editor Explanation Orb EnergyOutput		;Adjust the energy output from this star
Editor Explanation Orb HasRings		;Toggle planetary rings
Editor Explanation Colony Empire		;Change the empire of this colony by selecting from the list of factions
Editor Explanation Colony DevelopmentLevelRaw		;Adjust the raw development level for this colony
Editor Explanation Colony RaidCountdown		;Adjust the raid countdown for this colony
Editor Explanation Colony Unrest		;Adjust the level of unrest for this colony

We are enraged at your enslavement of our population		;We are enraged at your enslavement of our population

Troop recruitment and garrison at NAME is automated		;Troop recruitment and garrison at {0} is automated
Troop recruitment and garrison at NAME is manual		;Troop recruitment and garrison at {0} is manually controlled
Resource stock levels at NAME is automated		;Resource stock levels at {0} are automated
Resource stock levels at NAME is manual		;Resource stock levels at {0} are manually controlled
NOTE: Bases at colonies share the resources stock levels from the colony		;NOTE: Bases at colonies share the resource stock levels of the colony

Rendering Format		;Rendering Format
Standard Range rendering		;Standard Range rendering
High Dynamic Range rendering		;High Dynamic Range rendering

Extended		;Extended
Error while saving game. Check that you have enough storage space		;Error while saving game. Check that you have enough storage space. See data/logs folder for error details.
Warning - Low Storage Space		;Warning - Low Storage Space
You have low storage space. Your game may fail to save.		;You have low storage space. Your game may fail to save.

Apply Tactics Description - Designs in Fleet		;Apply these tactical settings to all ships of this Design in this Fleet
Apply Tactics Description - Roles in Fleet		;Apply these tactical settings to all ships of this Role in this Fleet
Apply Tactics Description - Position in Fleet		;Apply these tactical settings to all ships of this Position in this Fleet
Apply Tactics Description - All Ships in Fleet		;Apply these tactical settings to all ships in this Fleet
Settings applied to X ships		;Settings applied to {0} ships
Note that manually-controlled fleets will not automatically retreat		;Note that manually-controlled fleets will not automatically retreat. This setting only applies to automated fleets (Attack, Defend, Raid, Invade).
Note that manually-controlled fleets will not engage outside of their current star system		;Note that manually-controlled fleets will not automatically engage threats outside their current star system.
Fleets Military Attacks Automation Explanation		;Fleets will not automatically engage threats outside their current star system when Military Attacks are manually-controlled (see Military section in Empire Policy settings). Thus for fleets to automatically respond to threats outside their current star system you should enable Military Attack automation (Fully Automated or Suggest). In addition you should use automated fleets (not Manual fleet role) if you want them to automatically engage threats beyond their current system.

EMPIRE reports		;{0} reports

FleetEngagementRange Explanation		;Fleet Engagement Range specifies when a fleet will engage targets.\n\nDo Not Engage: the fleet will never engage enemies\nEngage When Attacked: will engage enemies only when directly attacked by them\nNearby: will engage enemy targets that are nearby\nSame Location: will engage enemy targets that are at the same location (planet and moons)\nSame System: will engage enemy targets that are in the same star system\nSector range: will engage enemy targets that are within a sector range\n33% of Fuel Range: will engage enemy targets that are within 33% of fleet fuel range\n50% of Fuel Range: will engage enemy targets that are within 50% of fleet fuel range\n\nNote that fleet engagement range overrides the engagement ranges of individual ships in the fleet. When a ship is part of a fleet it uses the fleet engagement range instead of its own engagement range.\n\nManually-controlled fleets will not automatically respond to threats outside their current star system. This is indicated by yellow text for this setting when the fleet is manually-controlled. To enable fleet engagement range beyond the current star system you should use an automated fleet role (Defend, Attack, Raid, Invade).\n\nFleets will also not automatically engage threats outside their current star system when Military Attacks are manually-controlled (see Military section in Empire Policy settings). This is indicated by orange text for this setting when Military Attacks are manually-controlled. Thus for fleets to automatically respond to threats outside their current star system you should enable Military Attack automation (Fully Automated or Suggest). In addition you should use automated fleets (not Manual fleet role) if you want them to automatically engage threats beyond their current system.
FleetFormationCoherence Explanation		;Specfies the proximity of Close Escort and Picket ships to their escorted Core ships in the fleet.
FleetAllowShipRoleReassignment Explanation		;This determines whether ships can have their 'Role Within Fleet' automatically reassigned or not. This means that whenever a new fleet lead ship is selected (e.g. when a better ship joins fleet or when the old lead ship is lost) then the Core, Close Escort and Picket ships can change.
FleetRetreatOverwhelmed Explanation		;Determines when the entire fleet will decide to retreat from a battle.

FleetOverrideShipTacticsWithFleet Explanation		;Specifies whether ships in a fleet use their own individual tactics, or instead use a common set of tactical overrides from their fleet.

ShipRoleInFleet Explanation		;Position Within Fleet specifies how the ship operates within a fleet.\n\nCore: Core ships are the most important ships in the fleet, and are escorted by the other fleet ships (Close Escort and Picket). Usually a fleet will have only one or two Core ships\nClose Escort: these ships escort the Core ships in a close defensive perimeter. When there are no enemies present or enemies are on all sides, then they will form a circular defensive perimeter around the Core ships. When enemy forces predominantly come from one direction then they form an arc defensive formation between the Core ships and the enemy ships.\nPicket: these ships escort the Core ships in a more distant defensive perimeter. When there are no enemies present or enemies are on all sides, then they will form a circular defensive perimeter around the Core ships. When enemy forces predominantly come from one direction then they form an arc defensive formation between the Core ships and the enemy ships.
EngagementRange Explanation		;Engagement Range specifies when a ship will engage enemy targets.\n\nDo Not Engage: the ship will never engage enemies\nEngage When Attacked: will engage enemies only when directly attacked by them\nNearby: will engage enemy targets that are nearby\nSame Location: will engage enemy targets that are at the same location (planet and moons)\nSame System: will engage enemy targets that are in the same star system\n\nNote that when a ship is part of a fleet, then the Fleet Engagement Range overrides the ship engagement range. In other words, when a ship is part of a fleet it uses the fleet engagement range instead of its own.
AttackRangeWeaker Explanation		;This determines how a ship will engage a target that is weaker than itself, including how it determines the optimal range to use.\n\nEvade: the ship will attempt to remain out of weapons range of the enemy target\nCautious: the ship will select an attack range that inflicts some damage on the enemy while minimizing damage to itself from the enemy\nNeutral: the ship will select an attack range that inflicts the maximum damage on the enemy while avoiding excessive damage to itself from the enemy\nAggressive: the ship will select an attack range that inflicts maximum damage on the enemy with little consideration for enemy damage against itself
AttackRangeStronger Explanation		;This determines how a ship will engage a target that is stronger than itself, including how it determines the optimal range to use.\n\nEvade: the ship will attempt to remain out of weapons range of the enemy target\nCautious: the ship will select an attack range that inflicts some damage on the enemy while minimizing damage to itself from the enemy\nNeutral: the ship will select an attack range that inflicts the maximum damage on the enemy while avoiding excessive damage to itself from the enemy\nAggressive: the ship will select an attack range that inflicts maximum damage on the enemy with little consideration for enemy damage against itself
ShipRetreatOptions Explanation		;This specifies when a ship will flee a battle location.\n\nEnemy in same System: will flee at the first sight of an enemy in the same star system\nEnemy at same Location: will flee at the first sight of an enemy in the same location\nEnemy Nearby: will flee when an enemy is nearby at the same location\nWhen Attacked: will flee when directly attacked by an enemy\nShields below 50% or any Armor damage: will flee when shields drop below 50% or any armor has been damaged\nShields below 20% or Armor below 50%: will flee when shields drop below 20% or armor is below 50%\nAny non-defense component damaged: will flee when any non-defense component is damaged, i.e. components other than shields or armor\n20% of non-defense components damaged: will flee when 20% of non-defense components are damaged\n50% of non-defense components damaged: will flee when 50% of non-defense components are damaged\nNever: this ship will never flee battle
InvasionTactics Explanation		;This determines how a ship will land troops during a colony invasion.\n\nImmediately: the ship will attempt to immediately land troops at the colony\nWhen Clear: the ship will wait until all static defenses at the colony have been cleared before invading. This includes all defending bases in orbit around the colony\nNever: the ship will never invade enemy colonies

Upon acquiring SHIPNAME in the SYSTEM system we have made the following discovery		;Upon acquiring [LOCATION]{0}[/LOCATION] in the {1} system we have made the following discovery in the cargo hold

Warning - low suitability colony explanation		;WARNING: colonies with suitability below 20 incur high support costs which may make them a net drain on your economy
Low Suitability		;Low Suitability
Suitability With Race LOW		;Colonize with {0}, LOW SUITABILITY: {1}

Mined Location Foreign Sources Explanation		;Mined Locations includes foreign locations \nfrom trade agreements
includes foreign locations from trade agreements		;includes foreign locations from trade agreements
Note that this excludes fleet Fuel Tankers		;Note that this excludes fleet Fuel Tankers, which retrofit separately

Research Advances		;Research Advances

Generic Display Adapter Explanation		;Distant Worlds has detected that your PC is using the generic 'Microsoft Basic Render Driver' display adapter. This means that you are likely missing a proper vendor-specific display driver (NVidia, AMD, etc).\n\nWithout a proper display driver Distant Worlds will run poorly, or may not even run at all. You are strongly recommended to install a proper display driver for your PC.

Continue Game		;Continue Game
No saved games are available to continue		;No saved games are available to continue
Continuing GAME		;Continue savegame '{0}'

EMPIRE honors their Defense Treaty with you: we declare WAR against AGGRESSOR		;The [FACTION]{0}[/FACTION] honors their Defense Treaty with you: we declare WAR against the [FACTION]{1}[/FACTION] in response to their aggression against you
We honor our Defense Treaty with you		;We honor our Defense Treaty with you
Honor Defense Treaty and Declare War on AGGRESSOR		;Honor Defense Treaty and Declare War on {0}
EMPIRE has been attacked by AGGRESSOR and calls on us to honor our Defense Treaty with them		;The [FACTION]{1}[/FACTION] has been attacked by the [FACTION]{0}[/FACTION] and calls on us to honor our Defense Treaty with them.\n\nHonoring our Defense Treaty will greatly improve our relations with the [FACTION]{1}[/FACTION] and enhance our reputation.\n\nFailure to honor our treaty will very negatively impact our relations with the [FACTION]{1}[/FACTION] and harm our reputation.\n\nShould we declare war on the [FACTION]{0}[/FACTION]?

As loyal Vassals we have Honored our Defense Treaty and Declared War on AGGRESSOR		;As loyal Vassals we have Honored our Defense Treaty and Declared War on {0}
EMPIRE has been attacked by AGGRESSOR and calls on us to honor our Defense Treaty with them Vassal		;The [FACTION]{1}[/FACTION] has been attacked by the [FACTION]{0}[/FACTION] and calls on us to honor our Defense Treaty with them.\n\nAs loyal Vassals of {1} we have declared war on {0}.

Honor Defense Treaty and Declare War		;Honor Defense Treaty and Declare War
Leave me out of this...		;Leave me out of this...

EMPIRE honors their Defense Treaty with TARGET and declares war on us		;The [FACTION]{0}[/FACTION] honors their Defense Treaty with the [FACTION]{1}[/FACTION] and declares War on us!

All Resources - No Asteroids		;All Resources - No Asteroids

You have reached X user-defined starting empires. This is the maximum number allowed		;You have reached {0} starting empires. This is the maximum number allowed.
You must reduce the number of starting empires		;You must reduce the number of starting empires to {0} (both auto-generated and manually-defined).

AutoDesign Explanation		;Click here to change how all designs for this hull are upgraded, either automatically or manually
AutoRetrofit Explanation		;Click here to toggle whether ships or bases of this design are automatically retrofitted when newer designs are available. Note that you can only control this for state-owned roles. Civilian roles are always automatically retrofitted as needed.
DesignStatus Explanation		;Click here to toggle whether this design is Active or Obsolete

Particle Effects		;Particle Effects
Settings Explanation ParticleEffectsEnabled		;Enable particle effects for explosions, hyperjump enter/exit and other effects.
Weapon Effects		;Weapon Effects
Settings Explanation WeaponBillboardsEnabled		;Enable weapon effects rendering. Note that turning this off means that you cannot see any weapons fire, but this may be useful when troubleshooting rendering issues.
Unit Damage Overlay		;Unit Damage Overlay
Settings Explanation DamageOverlayEnabled		;Enable damage and construction surface effects for ships, bases and creatures.

Rendering Mode		;Rendering Mode
Settings Explanation RenderingMode		;The default and recommended rendering platform is DirectX 11. However if you have rendering issues (e.g. crashes during battles) you might want to try Vulkan/DXVK rendering.\n\nWhen using Vulkan/DXVK rendering you may also want to set Rendering Format to 'Standard Range Rendering' to avoid an excessively dark display.\n\nNOTE: Distant Worlds 2 must be restarted to apply changes to Rendering Mode.\n\n\n[WARN]When using DXVK rendering and HDR color format you will likely need to also set Gamma to about 2.2 to avoid an overly dark display.[/WARN]
Rendering Mode DirectX		;DirectX 11
Rendering Mode VulkanDXVK		;Vulkan via DXVK v1.10.3
Rendering Mode VulkanDXVK2		;Vulkan via DXVK v2.3.0

Cannot retire any of these ships		;Cannot retire any of these ships

Waiting for incoming invasion forces		;waiting for invasion forces
SentryOptOut ;Disable Automatic Error Reporting
Explanation SentryOptOut ;Disables automatic submission of anonymized Sentry error reporting to Slitherine and Matrix Games

Must first research X PROJECTS		;Must first research any {0} of the following projects: {1}
Must first research SINGLE PROJECT		;Must first research {0}
X required		;{0} required

EMPIRE becomes Vassal of OTHER		;{0} becomes Vassal of {1}
EMPIRE becomes Vassal of OTHER Explanation		;[FACTION]{0}[/FACTION] has become a vassal state of [FACTION]{1}[/FACTION].\n\nAs a result, all treaties with the {0} have been cancelled. From now on all of their foreign relations will be handled by the {1}.
EMPIRE becomes Vassal of OTHER After War		;War ends with {0} becoming Vassal of {1}
EMPIRE becomes Vassal of OTHER After War Explanation		;The war between [FACTION]{0}[/FACTION] and [FACTION]{1}[/FACTION] has ended with {0} agreeing to become a vassal state of {1}.\n\nAs a result, all treaties with the {0} have been cancelled. From now on all of their foreign relations will be handled by the {1}.
Vassal EMPIRE Rebels Against OTHER		;Vassal {0} Rebels Against {1}
Vassal EMPIRE Rebels Against OTHER Explanation		;The [FACTION]{0}[/FACTION] has rebelled against their rulers the [FACTION]{1}[/FACTION].\n\nThey refuse to pay tribute and have broken away from the {1}, forging their own independent path.\n\nAs a result, a state of war now exists between the {0} and the {1}.
Your empire is a vassal of EMPIRE explanation		;Your empire is a vassal of {0} and thus cannot interact with other factions
Parent empire EMPIRE is pursuing strategy STRATEGY		;Parent empire {0} is pursuing strategy '{1}' for this faction
We pay monthly tribute of X to EMPIRE		;We pay monthly tribute of {0} credits to {1} as their Vassal
We pay monthly protection of X to EMPIRE		;We pay monthly protection of {0} credits to {1}

We demand your subjugation as our vassal to end this war		;We demand your subjugation as our vassal to end this war
We offer ourselves as your loyal vassal to end this war		;We offer ourselves as your loyal vassal to end this war
They pay monthly tribute of X to us		;They pay monthly tribute of {0} credits to us
EMPIRE are our subjugated vassal		;{0} are our subjugated vassal

None currently available		;None currently available

Need incentive offer of X credits		;Need incentive offer of {0} credits

We recently ended a war with this faction (X years ago)		;We recently ended a war with this faction ({0} years ago)
Declaring war on this faction now would SEVERITY damage our reputation		;Declaring war on this faction now would {0} damage our reputation

Severity Severely		;Severely
Severity Significantly		;Significantly
Severity Mildly		;Mildly

VASSAL Rebels Against Us		;{0} Rebels Against Us
VASSAL Rebels Against Us Explanation		;Our vassal, the [FACTION]{0}[/FACTION] has rebelled against us, declaring independence from our rule!\n\nThey refuse to pay tribute and have broken away, forging their own independent path.\n\nAs a result, a state of war now exists between us and the {0}.

Negative Reputation Impact Warning		;Negative Reputation Impact
There is insufficient justification for this war		;There is [BAD]insufficient justification[/BAD] for this war. We will suffer a [BAD]negative reputation impact[/BAD] by declaring war now
We recently ended a war with this faction		;We [BAD]recently ended a war[/BAD] with this faction. We will suffer a [BAD]negative reputation impact[/BAD] by declaring war now
We currently have a Non Aggression treaty with this faction		;We currently have a [BAD]Non Aggression treaty[/BAD] with this faction. We will suffer a [BAD]negative reputation impact[/BAD] by declaring war now
We currently have a Defense treaty with this faction		;We currently have a [BAD]Defense treaty[/BAD] with this faction. We will suffer a [BAD]negative reputation impact[/BAD] by declaring war now

Galaxy Star Amount Warning Prefix Template		;Your system has {0} CPU cores and {1}GB of RAM.
Galaxy Star Amount Warning Template		;[WARN]Warning:[/WARN] {2} stars may cause performance issues in late-game on your system.\nRecommended: [WARN]{3} CPU cores[/WARN] and [WARN]{4}GB of RAM[/WARN].

No Ambassador assigned to our capital		;You must assign an Ambassador to our capital

Diplomacy Factor Assimilation Rate Improvement		;Population Assimilation Rate

You have no active ROLE design		;You have no active {0} design
Build base at LOCATION		;Build base at {0}
At Selected Location		;At Selected Location

Switch Empire		;Switch Empire
Play as EMPIRE		;Play as {0}
Switch Empire Explanation		;Switch player to this empire. This allows you to view and edit this empire with all of the normal user interface controls.

Enable ;Enable
Disable ;Disable

Modifications ;Modifications
ModsListInstruction ;You can organize the order of modifications here, as well as whether or not they are enabled. Changes are saved immediately.\n\nYou can also save a collection of mods as a named profile, which you can then reload using the dropdown list at the right.
ModNoDescription ;No description provided

Latest Design for Role		;Latest Design for Role
Latest Design for SHIPHULL		;Latest Design for hull '{0}'
Add Item		;Add Item

FleetTemplateItem Role Button Explanation		;Click to change the role for this item
FleetTemplateItem Design Button Explanation		;Click to change the specific Ship Hull or Design for this item
FleetTemplateItem Remove Button Explanation		;Click to remove this item

Bonus Application Rate Explanation		;applied at {0}
Currently researching		;Currently researching

Retrofit Path		;Retrofit Path
Latest Design for Hull		;Latest Design for Hull
Latest Design for Largest Hull for Role		;Latest Design for Largest Hull for Role
View		;View
Other Designs That Upgrade To This Design		;Other Designs That Upgrade To This Design
Upgrades To		;This Design Upgrades To
Upgrades to DESIGN because latest for hull		;Upgrades to '{0}' because latest for hull
Upgrades to DESIGN because latest for role		;Upgrades to '{0}' because latest for role
Upgrades to DESIGN because latest for largest hull for role		;Upgrades to '{0}' because latest for largest hull for role
Click to view design		;Click to view design
Already viewing the latest design for this hull		;Already viewing the latest design for this hull
Already viewing the latest design for this role		;Already viewing the latest design for this role
Already viewing the latest design for largest hull for this role		;Already viewing the latest design for largest hull for this role
Already viewing the specified design		;Already viewing the specified design
No retrofit design specified		;No retrofit design specified
Click to view DESIGN		;Click to view '{0}'
Design Saved		;Design Saved
The components for this design cannot be changed because it is in use		;The components for this design cannot be changed because it is in use
Tactics & Settings		;Tactics & Settings

Successfully completing difficult intelligence missions has temporarily boosted our espionage abilities against this faction		;Successfully completing difficult intelligence missions has temporarily boosted our espionage abilities against this faction

We have been influenced to like you more		;We have been influenced to like you more
We have been influenced to like you less		;We have been influenced to like you less

Leader Change Disruption Colony Rebel		;The disruption caused by our recent leadership change has led to a rebellion at our colony {0}
Leader Change Coup Title		;Coup d'̩tat replaces Leader!
Leader Change Coup		;Our leader {0} has been deposed in a coup d'̩tat!\n\n{1} has seized control as the new leader, and their allies are moving quickly to secure their power.\n\nExpect a period of upheaval and disruption as our empire adjusts to this new regime...
Leader Change Coup From Existing		;Our leader {0} has been deposed in a coup d'̩tat!\n\n{1}, an existing {2}, has seized control as the new leader, and their allies are moving quickly to secure their power.\n\nExpect a period of upheaval and disruption as our empire adjusts to this new regime...
Leader Change Replaced Title		;Leader Replaced
Leader Change Replaced		;Our leader {0} has been ousted as incompetent!\n\n{1} has been appointed as the new leader, and has assumed immediate control.\n\nHowever this change will not come without upheaval - expect a period of disruption as our empire adjusts to this new leadership...
Leader Change Replaced From Existing		;Our leader {0} has been ousted as incompetent!\n\n{1}, an existing {2}, has been appointed as the new leader, and has assumed immediate control.\n\nHowever this change will not come without upheaval - expect a period of disruption as our empire adjusts to this new leadership...
Leader Change Election Title		;New Leader Elected
Leader Change Election		;Our leader {0} has been replaced in an empire-wide election\n\n{1} has been elected as the new leader.\n\nThis fresh leadership has sent a wave of enthusiasm through our empire, improving happiness and decreasing war weariness at all our colonies
Leader Change Election From Existing		;Our leader {0} has been replaced in an empire-wide election\n\n{1}, an existing {2}, has been elected as the new leader.\n\nThis fresh leadership has sent a wave of enthusiasm through our empire, improving happiness and decreasing war weariness at all our colonies
Leader New Title		;New Leader Takes Power
Leader New		;{0} has taken power as our new leader, and has assumed immediate control
Leader New From Existing		;{0}, an existing {1}, has taken power as our new leader, and has assumed immediate control
Leader Change Colony Boost		;Our new empire leader {0} is boosting happiness
Leader Change Colony Disrupt		;Our empire's disruptive leadership change ({0}) is reducing happiness
Rebellion at COLONY		;Rebellion at {0}
Disruption from Leader Change		;Disruption from Leader Change

Default Tactical Settings		;Default Tactical Settings

Additional Startup Ships and Bases		;Additional Startup Ships and Bases
Prebuilt FACILITY		;Prebuilt {0}
Research Project Enabled		;Research Enabled
Research Project Completed		;Research Completed
Random CATEGORY Research Project Completed		;Random {0} Research Completed
Startup Situation		;Startup Situation
Additional Intelligence Missions		;Additional Intelligence Missions
Missing Intelligence Missions		;Missing Intelligence Missions

ColonizationMinimumLevel Short		;{0} Quality Threshold
ColonizationSuitabilityModifier Short		;{0} Suitability Modifier
THRESHOLD with MODIFIER		;{0} with {1}
Special Features		;Special Features

Typical Leader Term		;Typical Leader Term
Leader Change Effect		;Leader Change Effect
Large Boost		;Large Boost
Mild Boost		;Mild Boost
No effect		;No effect
Disruptive		;Disruptive
Highly Disruptive		;Highly Disruptive
Leader Change Disruption Explanation		;Several months of reduced colony happiness and increased war weariness. Possibility of colony rebellions and even another leader change.
Leader Change Boost Explanation		;Several months of increased colony happiness and reduced war weariness.
Typical Leader Change Method		;Typical Leader Change Method
Leader Replaced From		;Leader Replaced From

LeaderReplacementType Undefined		;Replacement
LeaderReplacementType SimpleReplacement		;Direct Appointment
LeaderReplacementType CoupDetat		;Coup d'̩tat
LeaderReplacementType Election		;Election

Appointment of new character		;Appointment of new character

CharacterRole Leader Plural		;Leaders
CharacterRole Ambassador Plural		;Ambassadors
CharacterRole ColonyGovernor Plural		;Governors
CharacterRole FleetAdmiral Plural		;Admirals
CharacterRole ShipCaptain Plural		;Captains
CharacterRole TroopGeneral Plural		;Generals
CharacterRole Spy Plural		;Spies
CharacterRole Scientist Plural		;Scientists
CharacterRole Pirate Plural		;Pirate Leaders

Migration Factor		;Migration Factor
Leadership		;Leadership
Most Liked Races		;Most Liked Races
Most Disliked Races		;Most Disliked Races
Starting Research		;Starting Research
RACE Tech		;{0} Tech
Disallowed Tech		;Disallowed Tech
ResearchBreakthroughChance Title		;Research breakthroughs may progress other projects
ResearchCrashChance Title		;Crash research may progress other projects
ResearchBreakthroughChance Explanation		;Each research breakthrough has a chance of some progress in another project
ResearchCrashChance Explanation		;Each crash research initiation has a chance of some progress in another project
ResearchBreakthroughChance Details		;{0} chance of {1} progress
ResearchBreakthroughProgress Title		;Research Breakthrough leads to further progress
ResearchBreakthroughProgress Explanation SOURCEPROJECT PROJECT		;Our recent research breakthrough in {0} has led to progress in {1}
ResearchBreakthroughProgress Complete Explanation SOURCEPROJECT PROJECT		;Our recent research breakthrough in {0} has led to completion of research in {1}
ResearchCrashProgress Title		;Crash Research leads to further progress
ResearchCrashProgress Explanation SOURCEPROJECT PROJECT		;Our recent crash research in {0} has led to progress in {1}
ResearchCrashProgress Complete Explanation SOURCEPROJECT PROJECT		;Our recent crash research in {0} has led to completion of research in {1}

Character Mission Explanation InfluenceEmpirePositively		;Influence another faction's evaluation of a 3rd-party faction, making the target faction like the 3rd-party more
Character Mission Explanation InfluenceEmpireNegatively		;Influence another faction's evaluation of a 3rd-party faction, making the target faction like the 3rd-party less
Character Mission Explanation InternalStabilization		;Reduces internal unrest from dissidents within your own empire. This is particularly useful in wartime, when your war weariness is getting high. When successful your empire will have reduced war weariness and corruption for 2 years.
Character Mission Explanation CaptureBase		;Capture a specific base of another empire. The target base must be known to your empire. It must also either be in your territory or in unclaimed territory. Thus the base cannot be inside the target empire's territory (e.g. a spaceport at a colony).

Character Mission Explanation Success InternalStabilization		;As a result our empire will have reduced war weariness and corruption for the next 2 years.

Migration Factor Explanation		;Increases or reduces migration to an empire's colonies, making them more or less appealing for immigration from citizens of foreign empires

Ship Design Automation Explanation Manual		;Ship Design is currently manually controlled. New designs will NOT be automatically generated. You must manually create any new designs.
Ship Design Automation Explanation Automated		;Ship Design is currently automated. New designs will be automatically generated for all hulls unless a hull is set to manually upgrade.
Ship Design is Automated		;Ship Design is Automated
Ship Design is Manually-controlled		;Ship Design is Manually controlled

Civil War in EMPIRE		;Civil War in {0}
Civil War Detail EMPIRE NEWEMPIRE COLONYCOUNT		;A civil war is underway in the {0}!\n\nTiring of oppression and tyranny, {2} colonies have proclaimed independence and have left the {0}!\n\nThey have formed a new empire, the {1}.\n\nWar between the two factions is ongoing.

Civil War!		;Civil War!
Your Empire Civil War Detail NEWEMPIRE COLONYCOUNT		;Disaster! Our empire has split in two!\n\nMassive unrest has caused {1} colonies to proclaim independence and leave our empire. They have formed a new empire, the {0}.\n\nWe are now at war with these traitors - we will retake what belongs to us!

Left-click to move up Explanation		;Left-click to move up\nShift-Left-click to move to top
Left-click to move down Explanation		;Left-click to move down\nShift-Left-click to move to bottom

Mark Selected As Active		;Mark Selected As Active
Mark Selected As Obsolete		;Mark Selected As Obsolete
Mark Selected As Auto Retrofit		;Mark Selected As\nAuto Retrofit
Mark Selected As Manual Retrofit		;Mark Selected As\nManual Retrofit
Mark Selected As Auto Hull Upgrade		;Mark Selected As\nAuto Hull Upgrade
Mark Selected As Manual Hull Upgrade		;Mark Selected As\nManual Hull Upgrade

Manual Upgrade Designs		;Manual Upgrade Designs
Free Form		;Free Form

Suitability for COLONY		;Suitability for {0}

New Profile     ;New Profile
Enter a name for the new profile     ;Enter a name for the new profile
Default Profile		;(Default Profile)
Add new profile		;(Add New Profile)
Click to delete this mod profile		;Click to delete this mod profile

Problems loading Ship Hulls		;Problems Loading Ship Hulls
Problems loading Ship Hulls Explanation		;There was a problem loading some Ship Hulls. You can proceed, but [B]some Ship Hulls may be unavailable[/B].\n\nCheck that you have [B]properly installed the game[/B] and any [B]DLC packs[/B].\n\nIf you installed the game or DLC from Steam, ensure that you are [B]logged into Steam[/B].\n\nAlso check that any [B]mods are properly installed[/B].\n\n\nDetails of the problems encountered are below:
Problems loading Ship Hulls Explanation Load Game		;You cannot load this game because there was a problem loading some Ship Hulls and related models contained in the game.\n\nCheck that you have [B]properly installed the game[/B] and any [B]DLC packs[/B].\n\nIf you installed the game or DLC from Steam, ensure that you are [B]logged into Steam[/B].\n\nAlso check that any [B]mods are properly installed[/B].\n\n\nDetails of the problems encountered are below:
Continue with New Game		;Continue with New Game
Cancel New Game		;Cancel New Game
Return to Main Menu		;Return to Main Menu

TextureStreaming        ;Texture Streaming
